sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,PatientID_patientID,PatientID_patientnumber,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,sys_MXDVersion_MXD,sys_MXDDesignID_MXD,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
10771,26 Jul 2018 - 02:48:36 EDT,26 Jul 2018 - 03:07:04 EDT,0h 18m 28s,0h 18m 25s,1532587716,1532588824,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,baml,315,16,3,1,3,5,6,7,4,7,2,16,7,16,1,9,6,1,12,12,9,12,5,3,4,271,MXD1_1528457107_3,33,61,37,44,121,259,109,61,71,30,31,57,72,49,33,35,35
10772,26 Jul 2018 - 03:11:44 EDT,26 Jul 2018 - 03:23:39 EDT,0h 11m 55s,0h 11m 51s,1532589104,1532589819,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,gaeg,316,5,3,1,3,10,5,11,6,2,10,2,9,7,12,11,1,9,11,3,12,5,16,2,13,272,MXD1_1528457107_3,63,100,24,28,77,64,100,55,47,39,23,29,25,24,35,20,21
10773,26 Jul 2018 - 04:03:20 EDT,26 Jul 2018 - 04:26:15 EDT,0h 22m 55s,0h 22m 47s,1532592200,1532593575,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,balk,317,2,15,9,7,12,5,12,2,5,9,7,1,1,3,2,9,15,16,12,16,15,14,5,16,273,MXD1_1528457107_3,31,184,26,1,223,209,86,110,50,176,10,75,33,56,53,31,44
10774,26 Jul 2018 - 04:42:53 EDT,26 Jul 2018 - 05:02:38 EDT,0h 19m 45s,0h 19m 44s,1532594573,1532595758,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,mphb,318,15,11,12,7,12,8,3,5,3,14,1,13,16,14,5,4,16,13,14,11,12,7,5,11,274,MXD1_1528457107_3,29,80,4,5,169,123,180,105,103,49,2,103,58,27,47,48,81
10775,30 Jul 2018 - 02:10:21 EDT,30 Jul 2018 - 02:19:39 EDT,0h 9m 18s,0h 9m 49s,1532931021,1532931579,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,mocg,144,12,11,3,11,8,4,3,6,15,7,5,2,14,6,16,13,12,4,3,10,5,13,15,4,275,MXD1_1528457107_3,12,37,22,35,96,27,33,32,67,34,6,27,29,21,26,36,27
10776,30 Jul 2018 - 02:36:26 EDT,30 Jul 2018 - 02:47:38 EDT,0h 11m 12s,0h 11m 24s,1532932586,1532933258,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,seat,145,3,4,2,12,16,9,1,12,11,9,1,12,2,11,7,11,1,9,7,10,16,10,10,4,276,MXD1_1528457107_3,14,38,18,21,113,79,150,31,31,18,6,21,16,28,26,21,49
10777,30 Jul 2018 - 02:52:45 EDT,30 Jul 2018 - 03:11:11 EDT,0h 18m 26s,0h 18m 20s,1532933565,1532934671,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,kgat,146,7,11,10,11,1,13,16,14,10,6,16,2,14,15,7,2,9,10,5,13,12,9,1,11,277,MXD1_1528457107_3,269,66,33,41,194,133,118,100,42,100,3,84,70,53,25,17,21
10778,30 Jul 2018 - 03:19:35 EDT,30 Jul 2018 - 03:32:49 EDT,0h 13m 14s,0h 13m 12s,1532935175,1532935969,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,sebg,147,12,3,3,1,12,13,12,6,13,14,5,2,2,10,10,14,9,11,11,15,9,15,9,14,278,MXD1_1528457107_3,402,66,32,32,155,70,59,34,67,47,7,22,29,61,35,34,42
10779,30 Jul 2018 - 04:11:10 EDT,30 Jul 2018 - 04:21:22 EDT,0h 10m 12s,0h 10m 6s,1532938270,1532938882,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,matk,148,5,4,1,8,1,2,15,6,7,8,9,6,7,3,10,4,5,16,3,2,1,14,12,2,279,MXD1_1528457107_3,508,43,22,23,122,83,39,46,29,29,5,34,16,28,22,33,32
10780,30 Jul 2018 - 04:41:19 EDT,30 Jul 2018 - 04:54:53 EDT,0h 13m 34s,0h 13m 31s,1532940079,1532940893,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,dubn,150,1,15,1,10,6,7,15,16,14,4,11,14,5,12,3,11,2,3,16,4,1,3,4,2,280,MXD1_1528457107_3,1171,36,19,23,106,90,79,90,59,40,3,55,29,38,85,21,38
